Base,Lat,Lon,Nom_du_jour,Jour_de_la_semaine,Heure,DayType,Nom_du_mois,DaySituation
B02512,40.7219,-73.9558,Thursday,4,0,NormalDay,September,Night
B02512,40.723,-73.9503,Thursday,4,0,NormalDay,September,Night
B02512,40.7244,-73.9915,Thursday,4,0,NormalDay,September,Night
B02512,40.7275,-73.8558,Thursday,4,0,NormalDay,September,Night
B02512,40.7278,-73.9911,Thursday,4,0,NormalDay,September,Night
B02512,40.7294,-73.9575,Thursday,4,0,NormalDay,September,Night
B02512,40.7344,-74.0026,Thursday,4,0,NormalDay,September,Night
B02512,40.7357,-73.4415,Thursday,4,0,NormalDay,September,Night
B02512,40.7364,-74.0033,Thursday,4,0,NormalDay,September,Night
B02512,40.7393,-74.0279,Thursday,4,0,NormalDay,September,Night
B02512,40.7403,-74.0059,Thursday,4,0,NormalDay,September,Night
B02512,40.7404,-74.0062,Thursday,4,0,NormalDay,September,Night
B02512,40.7407,-74.0077,Thursday,4,0,NormalDay,September,Night
B02512,40.7435,-74.0072,Thursday,4,0,NormalDay,September,Night
B02512,40.7446,-73.8439,Thursday,4,0,NormalDay,September,Night
B02512,40.7446,-73.8438,Thursday,4,0,NormalDay,September,Night
B02512,40.7449,-73.9893,Thursday,4,0,NormalDay,September,Night
